City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
361,Kavieng,PG,-2.5744,150.7967,83.52,71,76,11.56,broken clouds
362,Tuatapere,NZ,-46.1333,167.6833,39.02,63,12,5.64,few clouds
363,Santa Flavia,IT,38.085,13.5351,82.38,54,0,4.0,clear sky
364,Marsa Matruh,EG,31.3525,27.2453,77.58,77,0,9.75,clear sky
365,San Cristobal,VE,7.7669,-72.225,77.18,85,22,3.24,few clouds
366,Hays,US,30.0502,-98.0336,96.67,46,50,5.99,scattered clouds
367,Roald,NO,62.5833,6.1333,59.9,82,100,8.05,light rain
368,Sitrah,BH,26.1547,50.6206,95.36,65,0,4.61,clear sky
369,Monticello,US,45.3055,-93.7941,77.49,55,0,9.22,clear sky
370,Nicoya,CR,10.1483,-85.452,74.89,89,100,3.6,overcast clouds
371,Rosario,AR,-32.9468,-60.6393,51.98,75,100,10.36,light intensity drizzle
372,Westport,US,41.1415,-73.3579,85.55,66,0,12.66,clear sky
373,Yatou,CN,37.15,122.3833,74.75,98,97,8.39,moderate rain
374,Saint-Pierre,RE,-21.3393,55.4781,66.9,63,0,9.22,clear sky
375,Salalah,OM,17.0151,54.0924,75.29,100,100,3.44,heavy intensity drizzle
376,Dukat,RU,62.55,155.55,69.42,49,97,8.08,overcast clouds
377,Prince Rupert,CA,54.3161,-130.3201,63.46,65,5,6.64,clear sky
378,Oranjestad,AW,12.524,-70.027,82.35,83,20,17.27,few clouds
379,Kolokani,ML,13.5728,-8.0339,70.7,94,100,5.35,heavy intensity rain
380,Ibra,OM,22.6906,58.5334,87.58,49,100,2.39,overcast clouds
381,Santa Fe,AR,-31.6333,-60.7,51.03,97,100,7.0,light rain
382,West Plains,US,36.7281,-91.8524,79.63,73,0,5.75,clear sky
383,Sabang,ID,5.8933,95.3214,82.02,74,100,18.12,overcast clouds
384,Mumford,GH,5.2618,-0.759,73.26,89,100,12.19,overcast clouds
385,Ola,RU,59.5833,151.2833,73.15,61,18,2.42,few clouds
386,Hervey Bay,AU,-25.2986,152.8535,60.51,65,0,7.76,clear sky
387,Carlsbad,US,33.1581,-117.3506,98.26,63,0,9.22,clear sky
388,Parry Sound,CA,45.3501,-80.033,61.16,97,100,11.36,overcast clouds
389,Faya,SA,18.3851,42.4509,64.51,87,88,5.88,overcast clouds
390,Bowen,AU,-20.0167,148.2333,65.23,50,0,10.83,clear sky
391,Tigil,RU,57.8,158.6667,74.17,55,28,5.1,scattered clouds
392,Eyl,SO,7.9803,49.8164,76.62,67,85,23.85,overcast clouds
393,Singaraja,ID,-8.112,115.0882,78.85,73,18,7.05,few clouds
394,Harrison,US,30.4091,-89.0436,82.42,85,0,4.61,clear sky
395,Lodwar,KE,3.1191,35.5973,80.71,43,92,10.16,overcast clouds
