City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Santa Cruz Cabralia,BR,2022-08-04 21:52:29,-16.2781,-39.0247,73.63,78,20,6.91
226,Bam,IR,2022-08-04 21:52:30,29.106,58.357,84.6,16,0,8.37
227,Port Hedland,AU,2022-08-04 21:47:35,-20.3167,118.5667,51.85,82,2,0.0
228,Toyooka,JP,2022-08-04 21:52:30,35.5333,134.8333,77.36,91,94,2.55
229,Takanabe,JP,2022-08-04 21:52:31,32.1333,131.5,82.29,80,38,3.58
230,Sabha,LY,2022-08-04 21:52:31,27.0377,14.4283,92.71,22,51,14.54
231,Port Hueneme,US,2022-08-04 21:52:31,34.1478,-119.1951,96.19,56,0,9.28
232,Ponta Delgada,PT,2022-08-04 21:52:32,37.7333,-25.6667,74.12,94,75,8.05
233,Nelson Bay,AU,2022-08-04 21:52:32,-32.7167,152.15,61.0,99,96,1.99
234,Qaqortoq,GL,2022-08-04 21:52:32,60.7167,-46.0333,48.25,82,92,3.33
235,Honiara,SB,2022-08-04 21:52:33,-9.4333,159.95,82.65,71,38,5.26
236,Celestun,MX,2022-08-04 21:52:33,20.8667,-90.4,84.78,70,26,17.43
237,Yen Bai,VN,2022-08-04 21:52:33,21.7,104.8667,78.06,96,100,2.55
238,Cabinda,AO,2022-08-04 21:52:34,-5.55,12.2,68.43,90,18,10.76
239,Durusu,TR,2022-08-04 21:52:34,41.3053,28.6767,77.85,82,0,8.99
240,Gombe,NG,2022-08-04 21:52:35,10.2897,11.1673,75.87,73,76,7.99
241,Basoko,CD,2022-08-04 21:52:35,1.2391,23.616,71.55,92,52,2.21
242,Vostok,RU,2022-08-04 21:52:35,46.4856,135.8833,67.24,84,100,3.13
243,Avera,US,2022-08-04 21:52:36,33.194,-82.5271,94.51,55,81,8.05
244,Qaanaaq,GL,2022-08-04 21:52:36,77.484,-69.3632,45.43,56,6,3.8
245,Mayor Pablo Lagerenza,PY,2022-08-04 21:52:36,-19.9309,-60.7718,65.84,64,42,11.05
246,Khipro,PK,2022-08-04 21:52:37,25.8285,69.3772,87.82,64,58,13.11
247,Nueva Guinea,NI,2022-08-04 21:48:04,11.6876,-84.4562,74.64,88,94,10.65
248,Krasnodon,UA,2022-08-04 21:52:37,48.2923,39.7373,67.03,84,89,3.04
249,Sale,MA,2022-08-04 21:52:38,34.0389,-6.8166,71.74,94,20,0.0
250,Clyde River,CA,2022-08-04 21:49:34,70.4692,-68.5914,44.83,87,75,14.97
251,Baykit,RU,2022-08-04 21:52:07,61.67,96.37,43.81,95,100,3.2
252,Dosso,NE,2022-08-04 21:52:38,13.049,3.1937,76.84,76,74,7.61
253,Carauari,BR,2022-08-04 21:52:39,-4.8828,-66.8958,77.79,89,95,3.18
254,Mar Del Plata,AR,2022-08-04 21:52:39,-38.0023,-57.5575,46.42,80,20,4.61
255,Naze,JP,2022-08-04 21:52:39,28.3667,129.4833,77.92,84,99,7.9
256,Kruisfontein,ZA,2022-08-04 21:52:40,-34.0033,24.7314,52.03,91,78,4.34
257,Bend,US,2022-08-04 21:52:40,44.0582,-121.3153,87.37,18,0,8.05
258,Arraial Do Cabo,BR,2022-08-04 21:52:40,-22.9661,-42.0278,73.26,83,0,9.22
259,San Patricio,US,2022-08-04 21:52:41,28.017,-97.5169,98.19,43,18,18.97
260,Yar-Sale,RU,2022-08-04 21:52:41,66.8333,70.8333,55.58,88,10,6.46
261,Mahebourg,MU,2022-08-04 21:52:03,-20.4081,57.7,70.09,73,20,16.11
262,Guerrero Negro,MX,2022-08-04 21:52:42,27.9769,-114.0611,79.43,56,1,17.27
263,Lompoc,US,2022-08-04 21:50:59,34.6391,-120.4579,79.02,56,0,17.27
264,Taree,AU,2022-08-04 21:52:42,-31.9,152.4667,66.11,95,100,1.77
265,Mangochi,MW,2022-08-04 21:52:42,-14.4782,35.2645,68.67,55,49,2.95
266,Najran,SA,2022-08-04 21:52:43,17.4924,44.1277,81.25,82,99,14.16
267,Vung Tau,VN,2022-08-04 21:52:43,10.346,107.0843,78.13,80,100,15.59
268,Borogontsy,RU,2022-08-04 21:52:44,62.6683,131.1683,66.4,82,62,5.99
269,Kununurra,AU,2022-08-04 21:52:44,-15.7667,128.7333,62.58,94,72,2.3
270,Kyshtovka,RU,2022-08-04 21:52:44,56.555,76.6271,54.32,79,5,4.27
271,Souillac,MU,2022-08-04 21:52:45,-20.5167,57.5167,70.18,73,20,16.11
272,Deputatskiy,RU,2022-08-04 21:52:45,69.3,139.9,46.11,60,7,0.36
273,Mataram,ID,2022-08-04 21:52:45,-8.5833,116.1167,68.81,80,22,7.25
274,Port Augusta,AU,2022-08-04 21:52:46,-32.5,137.7667,47.62,74,8,11.83
275,College,US,2022-08-04 21:52:13,64.8569,-147.8028,76.06,51,20,8.05
276,Vao,NC,2022-08-04 21:52:46,-22.6667,167.4833,72.03,84,96,17.05
277,Tynda,RU,2022-08-04 21:52:47,55.1667,124.7167,62.92,99,100,10.8
278,Anadyr,RU,2022-08-04 21:52:47,64.75,177.4833,57.7,76,0,4.47
279,Udomlya,RU,2022-08-04 21:50:58,57.8794,34.9925,66.38,71,72,2.24
280,Santa Marta,CO,2022-08-04 21:51:05,11.2408,-74.199,91.45,62,75,12.66
