City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Bengkulu,ID,75.34,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
161,Fort Nelson,CA,72.18,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
164,Bridgetown,BB,81.09,broken clouds,13.1,-59.6167,Hilton Barbados Resort
167,Gouyave,GD,80.74,broken clouds,12.1646,-61.7296,Rumboat Retreat
170,Moa,CU,81.36,scattered clouds,20.6569,-74.9403,Carmen
173,Fortuna,US,75.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
175,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
177,Tarsus,TR,80.98,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
179,Butaritari,KI,81.16,broken clouds,3.0707,172.7902,Isles Sunset Lodge
185,Arlit,NE,89.35,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
187,Aras,ES,72.01,light rain,42.5617,-2.356,Jardines de Viana Spa
189,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
190,Charleston,US,82.56,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
191,Kalmunai,LK,77.76,overcast clouds,7.4167,81.8167,VS Villa
196,Mareeba,AU,71.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
198,Guerrero Negro,MX,81.93,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
201,Mozarlandia,BR,83.23,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
205,Kloulklubed,PW,82.71,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
206,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
207,Bonthe,SL,76.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
208,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
209,Mardin,TR,74.66,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
215,Shima,CN,82.33,scattered clouds,24.4478,117.8111,龙海钻石大酒店
216,Lorengau,PG,82.87,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
219,Hobyo,SO,75.67,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
221,Hami,CN,86.09,clear sky,42.8,93.45,Laoyutang Resort
222,Naifaru,MV,80.85,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
223,Dingle,PH,79.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
230,Xapuri,BR,76.98,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
233,Andros,GR,79.36,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
241,Ribeira Grande,PT,74.37,few clouds,38.5167,-28.7,Quinta da Meia Eira
242,Frolovo,RU,70.97,clear sky,49.7713,43.6622,Gostinitsa Frolovo
245,Hithadhoo,MV,81.36,overcast clouds,-0.6,73.0833,Scoop Guest House
249,Sankheda,IN,77.88,overcast clouds,22.1667,73.5833,Jalaram Bhojnalay
251,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
257,Ayakudi,IN,74.82,overcast clouds,10.45,77.55,Palani Temple Accommodation
259,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
261,Vilhena,BR,70.52,overcast clouds,-12.7406,-60.1458,Hotel Mirage
263,Dauphin,CA,81.82,clear sky,51.1494,-100.0502,Canway Inn & Suites
264,Kefar Shemaryahu,IL,78.78,clear sky,32.1856,34.8219,Dan Accadia Herzliya Hotel
267,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
269,Pedernales,DO,85.23,overcast clouds,18.0384,-71.744,Hotel Costa Marina
271,Smithers,CA,75.81,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
272,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
273,Mayo,US,87.91,broken clouds,38.8876,-76.5119,Resorts Resource Group International
274,Norman Wells,CA,71.64,few clouds,65.282,-126.8329,Heritage Hotel
275,Mitsamiouli,KM,74.64,few clouds,-11.3847,43.2844,Foyer ADM
276,Russellville,US,82.54,clear sky,35.2784,-93.1338,Hampton Inn Russellville
277,Salinopolis,BR,79.72,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
278,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
286,Semporna,MY,79.77,heavy intensity rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
287,Gewane,ET,81.07,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
288,Tugdan,PH,81.3,overcast clouds,12.3134,122.0853,Monte Carlo Restaurant & Airport Pension House
290,Zhuhai,CN,82.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
291,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
296,Umm Lajj,SA,87.44,scattered clouds,25.0213,37.2685,Moon light Furnished Units
297,Dongkan,CN,83.23,overcast clouds,33.9997,119.8308,Triumphal Resort
301,Puerto Colombia,CO,84.29,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
302,Russell,US,85.37,scattered clouds,32.3502,-85.1999,Macs
308,Praia Da Vitoria,PT,73.65,few clouds,38.7333,-27.0667,Hotel Branco I
311,Kitakata,JP,83.62,overcast clouds,37.65,139.8667,いろり古民家の宿 志ぐれ亭
313,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
316,Kutum,SD,74.5,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
317,Adeje,ES,84.11,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
319,Nagato,JP,84.04,overcast clouds,34.3833,131.2,いそう庵
325,Manggar,ID,81.14,broken clouds,-2.8833,108.2667,Guest Hotel
328,Douglas,US,81.86,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
331,Tura,IN,74.55,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
333,Sanming,CN,81.52,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
334,Puerto Carreno,CO,78.98,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
337,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
340,Ponta Delgada,PT,72.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
343,Yalta,UA,78.76,clear sky,44.5,34.1667,Yalta Inturist
344,Bocana De Paiwas,NI,71.82,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
345,Meulaboh,ID,75.0,overcast clouds,4.1363,96.1285,Kost Pria
348,Wenling,CN,85.01,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
350,Maragogi,BR,74.08,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
351,Guilin,CN,80.71,clear sky,25.2819,110.2864,Grand 0773 Hotel
353,Weligama,LK,75.99,overcast clouds,5.9667,80.4167,Weligama Bay Resort
354,Kaohsiung,TW,86.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
355,Tahta,EG,87.51,clear sky,26.7693,31.5021,فندق الزيات
356,Fereydun Kenar,IR,79.72,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
359,Maha Sarakham,TH,79.92,overcast clouds,16.3333,103.6667,บุญทัน​บาเบอร์
360,Suicheng,CN,86.4,overcast clouds,33.8963,117.9331,Junyue Hotel
361,Kavieng,PG,83.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
363,Santa Flavia,IT,82.38,clear sky,38.085,13.5351,La Caletta
364,Marsa Matruh,EG,77.58,clear sky,31.3525,27.2453,Beau Site
365,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Pirineos
369,Monticello,US,77.49,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
370,Nicoya,CR,74.89,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
372,Westport,US,85.55,clear sky,41.1415,-73.3579,The Westport Inn
373,Yatou,CN,74.75,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
375,Salalah,OM,75.29,heavy intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
378,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
379,Kolokani,ML,70.7,heavy intensity rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
380,Ibra,OM,87.58,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
382,West Plains,US,79.63,clear sky,36.7281,-91.8524,West Plains Motel
383,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
384,Mumford,GH,73.26,overcast clouds,5.2618,-0.759,Spanish Villa
391,Tigil,RU,74.17,scattered clouds,57.8,158.6667,Tigil'
392,Eyl,SO,76.62,overcast clouds,7.9803,49.8164,Amiin Hotel
393,Singaraja,ID,78.85,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
394,Harrison,US,82.42,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
395,Lodwar,KE,80.71,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
397,Los Llanos De Aridane,ES,73.13,broken clouds,28.6585,-17.9182,Valle Aridane
398,Vynohradove,UA,73.62,clear sky,46.3696,32.9398,Дом
401,Santa Ines,BR,76.91,few clouds,-3.6667,-45.38,Palace hotel
406,Corrente,BR,75.51,few clouds,-3.7367,-43.3394,Chapadinhense Hotel
408,Poronaysk,RU,72.0,clear sky,49.2167,143.1167,Avtovokzal Khostel Stolovaya
409,Starkville,US,89.26,overcast clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
411,Ushtobe,KZ,72.37,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
413,Half Moon Bay,US,83.05,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
417,Bang Saphan,TH,74.93,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
419,Wadi Maliz,TN,80.26,clear sky,36.4681,8.5495,Heremony
420,Pokhara,NP,72.63,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
426,Sumenep,ID,79.74,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
428,Kapoeta,SS,73.92,light rain,4.7717,33.5903,Eastgate Hotel
431,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
432,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
433,Kalawit,PH,78.1,overcast clouds,8.0667,122.5167,Ompoy Pension House
434,Belmonte,BR,71.22,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
438,Ciudad Bolivar,VE,84.09,overcast clouds,8.1222,-63.5497,Hotel Edi
439,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
444,Lakatoro,VU,82.63,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
448,Itamaraca,BR,77.05,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
451,Locri,IT,80.31,clear sky,38.2414,16.2623,Grand Hotel President
452,Sassandra,CI,73.47,broken clouds,4.95,-6.0833,la terrasse
455,Tecolutla,MX,85.86,scattered clouds,20.4833,-97.0167,Hotel Plaza Marsol
458,Ipixuna,BR,76.12,broken clouds,-1.7625,-48.8043,Chalé do Mato
459,Partenit,UA,79.09,clear sky,44.578,34.3446,Приватотель
460,Sao Geraldo Do Araguaia,BR,80.67,scattered clouds,-6.4006,-48.555,Hotel Por do Sol
462,Fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
463,Kupang,ID,80.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
465,Banjar,ID,77.88,few clouds,-8.19,114.9675,The Hamsa Resort
467,Garowe,SO,72.86,broken clouds,8.4054,48.4845,Curubo Hotel
468,Ingham,US,76.95,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
476,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
